"","productID","title","price","userID","profileName","helpfulness","score","time","summary","text","apisummaryType","apitextType","apisummaryScore","apitextScore"
"1","B000EVS4TY","Arrowhead Mills Cookie Mix, Chocolate Chip, 12.9-Ounce Units (Pack of 6)",0,"A2SRVDDDOQ8QJL","MJ23447",0.5,4,2008-03-26 20:00:00,"Delicious cookie mix","I thought it was funny that I bought this product without knowing it was a mix. I read the header very quickly and just thought it was packaged cookies. But no, it is cookie MIX and I guess I should have noticed that since it is right in the title.This is the first time I have ever tried baking with a cookie mix. If you are used to the convenience of the cookie dough that you buy wrapped up in plastic logs then you might be in for a bit of a surprise. Mixing up the dough can get VERY messy (it is extremely sticky). However, with a cookie mix like this you have a lot of flexibility in the ratio of ingredients (I like to add some extra butter to make the baked cookies more chewy). Also, this mix has really large chocolate chips in it--I love that.I removed a star for the addition of 'natural flavors' in the mix.","positive","positive","0.482862","0.262573"
"2","B0000DF3IX","Paprika Hungarian Sweet",0,"A244MHL2UN2EYL","P. J. Whiting ""book cook""",0,5,2005-09-18 20:00:00,"Sweet Paprika: A sweet ingredient!","While in Hungary we were given a recipe for Hungarian Goulash. It needs sweet paprika. This was terrific in that dish and others. I will purchase it again when I need more.","positive","positive","0.897369","0.510149"
"3","B0002QF1LK","Quaker Honey Graham Oh's 10.5 oz - (6 pack)",26.82,"A3FL7SXVYMC5NR","Brittany",1,5,2006-01-24 19:00:00,"Best Cereal BY FAR","Without a doubt, I would recommend this wholesome and sweet cereal treat to anyone. The crunchy o-shaped pieces are filled with crispy rice, graham cracker bits, and infused with delicious honey flavor. ""Oh! What a great cereal!""","positive","positive","0.456869","0.721875"
"4","B0002QF1LK","Quaker Honey Graham Oh's 10.5 oz - (6 pack)",26.82,"A12IDQSS4OW33B","Robin Goodfellow",1,5,2005-06-05 20:00:00,"Oh!","This cereal is so sweet....yet so good for you! One taste=ADDICTION!!!! I just tried this cereal out of curiousity and I was hooked! It is an excellent breakfast choice, or just any time to eat! Especially as breakfast because you will crave more honey taste and you won't be hungry later {probably because of how much you'd eat} and it is actually sweeter and better than Honey Bunches of Oats. Cap'n Crunch Berries is an option, but this splendid cereal is SO FILLED WITH A HONEY-FILLED TASTE! I have not tried much better tasting cereal than this! Oh!","negative","positive","-0.230663","0.422354"
"5","B0002QF1LK","Quaker Honey Graham Oh's 10.5 oz - (6 pack)",26.82,"A2GZKHC1M4PKF4","lostinseganet",1,3,2008-03-25 20:00:00,"Oh's what a cereal! (^_^) ...Oh's what a price (O_o)","Man I love Oh's cereal. It is really great to the last bite, but the size of the box its so small compared to all the other cereals out there. The price is crazy for such a small box...but oh's is one of the best cereals I have ever ever eaten. It keeps me coming back despite the small box, and crazy price. If you never had it you should try it just once. It is wonderful I give it 3 stars only because of the price and how much food you get. If the portions were more fair even for this price it would be five star gold...","neutral","positive","0","0.341893"
"6","B0002QF1LK","Quaker Honey Graham Oh's 10.5 oz - (6 pack)",26.82,"AUGT2DOGKLHIN","Vahe S. Geuvjehizian",1,5,2007-04-25 20:00:00,"ITS GOTTA BE THE BEST CEREAL OF ALL TIME","And I've tried alot of cereals. This is by far the best.Its like the cereals I used to eat in the 80's, so sweet, yet so filling.I used to slam this cereal before I tried it.Now I'm hooked.","positive","negative","0.474141","-0.197462"
"7","B0002QF1LK","Quaker Honey Graham Oh's 10.5 oz - (6 pack)",26.82,"A3BLSHNN3M27VI","K. McClellan",1,5,2006-07-31 20:00:00,"Yummmmm","Oh's has been my favorite cereal as a kid and still is an essential staple of my college diet. It's absolutely f'ing delicious.","positive","positive","0.689911","0.69642"
"8","B0002QF1LK","Quaker Honey Graham Oh's 10.5 oz - (6 pack)",26.82,"A2PNSZA0JC343L","Diana",0.666666666666667,5,2008-07-05 20:00:00,"Delicious and Addictive","This cereal is great because it tastes so good. You just crave it. But a word of warning: read the label. Last time my husband and I looked, it had saturated fat! All the other cereals in our cabinet did not... hmmmm. Another reviewer noticed this problem too!Also, Amazon's price of $23 is outrageous. It is between $1.99 to $2.50 in our stores.","positive","negative","0.82504","-0.124999"
"9","B0002QF1LK","Quaker Honey Graham Oh's 10.5 oz - (6 pack)",26.82,"A294VLUYF416UF","John W. Spencer III",0,5,2012-12-19 19:00:00,"Awesome Cereal","I have look all over my hometown and no one carries this brand except Walmart (when they have it)...It tastes like Captain Crunch But is made by Quaker Oats and is exceptionally healthy for you.So I get the best of both worlds...Sweet and Crunchy as well as the Healthy aspect of it and not the pure sugar type...Bigger boxes would be nice though. My family has gone though 3 boxes in a matter of 1 week...Keep them coming...Thanks","positive","positive","0.71972","0.701529"
"10","B0002QF1LK","Quaker Honey Graham Oh's 10.5 oz - (6 pack)",26.82,"A3IY9HIAMJQ7HL","Marcel Lee",0,4,2012-10-19 20:00:00,"4 of 5","Oh yes. This cereal is delicious. It's O-shaped corn pieces with ""good things in the middle"", like real oatmeal. This is a Quaker product, after all. The caramel-like taste, which I'd compare to Cap'n Crunch or old school Mr T, Gremlins and Batman cereal, is sweetened with honey, graham (cracker) flour and brown sugar.It's not a good-tasting but a great-tasting cereal, easily one of the best I've ever tried. But; get this; it's too crunchy. No, it wont get soggy in milk, at-least not in any reasonable amount of time, but that's the problem because it makes for a hard chew. If it had the texture and consistency of, say, Cheerios, it'd be perfect.marcellee.com","neutral","positive","0","0.421558"
